county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds,beds_available
San Benito,3/29/2020,1,1,,,1,0,1,1
San Benito,3/30/2020,1,1,,,1,0,1,1
San Benito,3/31/2020,1,0,,,1,0,1,1
San Benito,4/01/20,2,0,,,2,0,0,0
San Benito,4/02/20,2,0,,,2,0,0,0
San Benito,4/03/20,2,0,,,2,0,0,0
San Benito,4/04/20,2,3,,,2,0,0,0
San Benito,4/05/20,3,0,,,2,0,0,0
San Benito,4/06/20,3,3,,,2,0,0,0
San Benito,4/07/20,3,3,,,2,0,0,0
San Benito,4/08/20,2,0,,,1,0,1,1
San Benito,4/09/20,2,1,,,1,0,1,1
San Benito,4/10/20,2,1,,,1,0,1,1
San Benito,4/11/20,2,2,,,0,0,2,1
San Benito,4/12/20,0,0,,,0,0,2,1
San Benito,4/13/2020,1,1,,,0,0,2,1
San Benito,4/14/2020,1,1,,,0,0,2,1
San Benito,4/15/2020,1,0,,,0,0,4,1
San Benito,4/16/2020,1,0,,,0,0,2,1
San Benito,4/17/2020,1,0,,,0,0,2,1
San Benito,4/18/2020,0,0,,,0,0,2,1
San Benito,4/19/2020,0,0,,,0,0,3,1
San Benito,4/20/2020,0,0,,,0,0,3,1
San Benito,4/21/2020,1,0,1,25,0,0,2,1
San Benito,4/22/2020,0,0,0,25,0,0,1,1
San Benito,4/23/2020,0,0,0,25,0,0,1,1
San Benito,4/24/2020,0,0,0,25,0,0,2,1
San Benito,4/25/2020,0,0,0,25,0,0,0,0
San Benito,4/26/2020,0,0,0,25,0,0,0,0
San Benito,4/27/2020,0,0,0,25,0,0,0,0
San Benito,4/28/2020,0,0,0,25,0,0,2,1
San Benito,4/29/2020,0,0,0,25,0,0,1,1
San Benito,4/30/2020,1,0,1,25,0,0,2,1
San Benito,5/01/20,1,0,1,25,0,0,1,1
San Benito,5/02/20,1,0,1,25,0,0,2,1
San Benito,5/03/20,0,0,0,25,0,0,2,1
San Benito,5/04/20,0,0,0,25,0,0,2,1
San Benito,5/05/20,0,0,0,25,0,0,2,1
San Benito,5/06/20,0,0,0,25,0,0,1,1
San Benito,5/07/20,0,0,0,25,0,0,0,0
San Benito,5/08/20,0,0,0,25,0,0,1,1
San Benito,5/09/20,0,0,0,25,0,0,3,1
San Benito,5/10/20,0,0,0,25,0,0,1,1
San Benito,5/11/20,1,0,1,25,0,0,2,1
San Benito,5/12/20,1,0,1,25,0,0,2,1
San Benito,5/13/2020,1,0,1,25,1,0,1,1
San Benito,5/14/2020,1,0,1,25,1,0,1,1
San Benito,5/15/2020,1,0,1,25,1,0,1,1
San Benito,5/16/2020,1,0,1,25,1,0,2,1
