county,totalcountconfirmed,totalcountdeaths,newcountconfirmed,newcountdeaths,date
San Benito,10,1,0,0,3/29/2020
San Benito,11,1,1,0,3/30/2020
San Benito,14,1,3,0,3/31/2020
San Benito,14,1,0,0,4/01/20
San Benito,18,1,4,0,4/02/20
San Benito,22,1,4,0,4/03/20
San Benito,22,1,0,0,4/04/20
San Benito,22,1,0,0,4/05/20
San Benito,25,1,3,0,4/06/20
San Benito,26,2,1,1,4/07/20
San Benito,31,2,5,0,4/08/20
San Benito,32,2,1,0,4/09/20
San Benito,32,2,0,0,4/10/20
San Benito,33,2,1,0,4/11/20
San Benito,33,2,0,0,4/12/20
San Benito,33,2,0,0,4/13/2020
San Benito,34,2,1,0,4/14/2020
San Benito,34,2,0,0,4/15/2020
San Benito,36,2,2,0,4/16/2020
San Benito,38,2,2,0,4/17/2020
San Benito,40,2,2,0,4/18/2020
San Benito,40,2,0,0,4/19/2020
San Benito,43,2,3,0,4/20/2020
San Benito,43,2,0,0,4/21/2020
San Benito,43,2,0,0,4/22/2020
San Benito,43,2,0,0,4/23/2020
San Benito,45,2,2,0,4/24/2020
San Benito,45,2,0,0,4/25/2020
San Benito,45,2,0,0,4/26/2020
San Benito,45,2,0,0,4/27/2020
San Benito,46,2,1,0,4/28/2020
San Benito,48,2,2,0,4/29/2020
San Benito,48,2,0,0,4/30/2020
San Benito,49,2,1,0,5/01/20
San Benito,49,2,0,0,5/02/20
San Benito,49,2,0,0,5/03/20
San Benito,49,2,0,0,5/04/20
San Benito,50,2,1,0,5/05/20
San Benito,50,2,0,0,5/06/20
San Benito,50,2,0,0,5/07/20
San Benito,51,2,1,0,5/08/20
San Benito,52,2,1,0,5/09/20
San Benito,52,2,0,0,5/10/20
San Benito,52,2,0,0,5/11/20
San Benito,55,2,3,0,5/12/20
San Benito,55,2,0,0,5/13/2020
San Benito,56,2,1,0,5/14/2020
San Benito,57,2,1,0,5/15/2020
San Benito,58,2,1,0,5/16/2020
San Benito,59,2,1,0,5/17/2020
San Benito,59,2,0,0,5/18/2020
San Benito,59,2,0,0,5/19/2020
San Benito,61,2,2,0,5/20/2020
San Benito,61,2,0,0,5/21/2020
San Benito,64,2,3,0,5/22/2020
San Benito,67,2,3,0,5/23/2020
San Benito,67,2,0,0,5/24/2020
San Benito,70,2,3,0,5/25/2020
San Benito,69,2,-1,0,5/26/2020
San Benito,74,2,5,0,5/27/2020
San Benito,82,2,8,0,5/28/2020
San Benito,84,2,2,0,5/29/2020
San Benito,85,2,1,0,5/30/2020
San Benito,85,2,0,0,5/31/2020
San Benito,86,2,1,0,6/01/20
San Benito,86,2,0,0,6/02/20
San Benito,88,2,2,0,6/03/20
San Benito,88,2,0,0,6/04/20
San Benito,92,2,4,0,6/05/20
San Benito,92,2,0,0,6/06/20
San Benito,92,2,0,0,6/07/20
San Benito,93,2,1,0,6/08/20
San Benito,95,2,2,0,6/09/20
San Benito,94,2,-1,0,6/10/20
San Benito,94,2,0,0,6/11/20
San Benito,96,2,2,0,6/12/20
San Benito,99,2,3,0,6/13/2020
San Benito,104,2,5,0,6/14/2020
San Benito,108,2,4,0,6/15/2020
San Benito,110,2,2,0,6/16/2020
San Benito,116,2,6,0,6/17/2020
San Benito,134,2,18,0,6/18/2020
San Benito,136,2,2,0,6/19/2020
San Benito,139,2,3,0,6/20/2020
San Benito,151,2,12,0,6/21/2020
San Benito,164,2,13,0,6/22/2020
San Benito,167,2,3,0,6/23/2020
San Benito,171,2,4,0,6/24/2020
San Benito,175,2,4,0,6/25/2020
San Benito,177,2,2,0,6/26/2020
San Benito,183,2,6,0,6/27/2020
San Benito,194,2,11,0,6/28/2020
San Benito,204,2,10,0,6/29/2020
San Benito,212,2,8,0,6/30/2020
San Benito,219,2,7,0,7/01/20
San Benito,236,2,17,0,7/02/20
San Benito,243,2,7,0,7/03/20
San Benito,255,2,12,0,7/04/20
San Benito,258,2,3,0,7/05/20
San Benito,264,2,6,0,7/06/20
San Benito,274,2,10,0,7/07/20
San Benito,282,2,8,0,7/08/20
San Benito,295,2,13,0,7/09/20
San Benito,302,2,7,0,7/10/20
San Benito,314,2,12,0,7/11/20
San Benito,324,2,10,0,7/12/20
San Benito,343,2,19,0,7/13/2020
San Benito,360,2,17,0,7/14/2020
San Benito,388,2,28,0,7/15/2020
San Benito,389,2,1,0,7/16/2020
San Benito,399,2,10,0,7/17/2020
San Benito,407,2,8,0,7/18/2020
San Benito,412,2,5,0,7/19/2020
San Benito,433,2,21,0,7/20/2020
San Benito,444,2,11,0,7/21/2020
San Benito,465,2,21,0,7/22/2020
San Benito,478,2,13,0,7/23/2020
San Benito,485,2,7,0,7/24/2020
San Benito,492,2,7,0,7/25/2020
San Benito,495,2,3,0,7/26/2020
San Benito,498,2,3,0,7/27/2020
San Benito,503,3,5,1,7/28/2020
San Benito,537,4,34,1,7/29/2020
San Benito,558,4,21,0,7/30/2020
San Benito,567,4,9,0,7/31/2020
San Benito,579,4,12,0,8/01/20
San Benito,599,4,20,0,8/02/20
San Benito,603,4,4,0,8/03/20
San Benito,608,4,5,0,8/04/20
