Id,McKee,Ngatamariki,Te_Mihi,aniwhenua,arapuni,aratiatia,argyle_wairau,atiamuri,aviemore,benmore,clyde,coleridge,glenbrook_kilns,highbank,huntly_1_4,huntly_e3p,huntly_p40,kapuni,karapiro,kawerau_new,kinleith,manapouri,mangahao,maraetai,matahina,mokai,nap,ngawha,ohaaki,ohakuri,ohau_a,ohau_b,ohau_c,paerau,patea,poihipi,rangipo,rotokawa,roxburgh,southdown,stratford,te_apiti,te_rapa,te_rere_hau,te_uku,tehuka,tekapo_a,tekapo_b,tokaanu,twf_12,twf_3,waikaremoana,waipapa,waipori,wairakei,waitaki,west_wind,whakamaru,whareroa,wheao_flaxy,whirinaki,white_hill,Price
0,22717.0,43334.0,80984.0,3526.1,4988.0,11260.0,0.0,0.0,17181.0,79011.0,0.0,18471.0,35834.85,10049.6158,117886.0,113035.0,0.0,2093.0,19250.0,50194.0,18353.0,164914.0,0.0,3980.0,5911.0,51186.0,67520.0,11998.41,20084.0,0.0,49531.0,53032.0,52954.0,0.0,2237.5,0.0,21694.0,13712.85,47514.5,0.0,147502.0,28433.0,0.0,16.46,4124.7154,12381.8704,0.0,72825.0,0.0,6366.33855,10830.2,2968.5,1000.0,4417.410299999999,70333.0,12337.5,24438.0,0.0,4329.0,2301.0,0.0,21466.519,83.51
1,22975.0,43290.0,81471.0,5084.63,23265.0,14600.0,5320.0,26640.0,72675.0,218493.0,169850.0,19385.0,42669.98,10887.3688,215597.0,195658.0,20933.0,7697.0,20060.0,53783.0,0.0,288588.0,0.0,50760.0,9358.0,40814.0,68086.0,12134.15,20982.0,39770.0,110951.0,96701.0,95862.0,1089.15,3899.5,20935.0,21812.0,16391.07,69487.5,0.0,77467.0,0.0,0.0,0.0,1933.1515,12072.6583,0.0,37246.0,0.0,0.0,0.0,7400.0,10790.0,16042.718,56448.0,17874.5,763.0,46260.0,7906.0,2788.0,0.0,3913.7992,83.65
2,23478.0,43131.0,81400.0,8937.0,28348.0,8340.0,5160.0,8490.0,74359.0,114076.0,52795.0,18756.0,44624.26,10268.9986,212759.0,194615.0,984.0,2566.0,27200.0,53424.0,11457.0,221046.0,2732.0,39270.0,9354.0,49274.0,67411.0,12177.0,19225.0,15390.0,75563.0,48661.0,47973.0,1450.9,9896.5,0.0,32323.0,13036.94,43917.0,0.0,215229.0,15991.0,0.0,328.45,4364.4364,11282.5808,0.0,70319.0,20730.0,1983.7948,5140.47,12241.0,11350.0,18005.0152,69768.0,11093.5,23639.0,5270.0,4340.0,2770.0,0.0,1625.1531,185.51
3,46449.0,43252.0,82169.0,4058.32,23423.0,24560.0,0.0,18430.0,49300.0,118859.0,104238.0,18785.0,45745.72,9428.2566,243680.0,199697.0,21429.0,7557.0,26240.0,51774.0,4711.0,220558.0,0.0,65270.0,10216.0,44387.0,68010.0,10768.73,19682.0,14790.0,108801.0,90128.0,89351.0,2587.92,10841.5,0.0,29639.0,13308.5,49476.0,0.0,233671.0,30800.0,13941.7501,0.0,5247.5274,11938.6895,0.0,38003.0,20256.0,12469.0632,,10123.5,17400.0,19330.8189,69546.0,14798.0,19889.5,41380.0,10078.0,2285.0,0.0,20493.0315,160.29
4,0.0,43568.0,81611.0,6972.39,26497.0,11770.0,5194.0,24490.0,76315.0,168981.0,170034.0,15833.0,30799.76,9098.7806,116347.0,174981.0,20927.0,6986.0,23710.0,50418.0,18571.0,367493.0,0.0,71010.0,9385.0,49523.0,71082.0,12277.78,20681.0,36670.0,113307.0,98155.0,97562.0,0.0,8743.0,21081.0,24570.0,13811.01,79908.0,0.0,0.0,31547.0,0.0,18035.97,15573.3518,11930.6171,0.0,37402.0,87342.0,15395.4689,36445.28,11549.0,16740.0,12098.0613,69645.0,12837.0,25704.5,41640.0,1542.0,3035.0,0.0,20101.2996,121.26
5,22884.0,43315.0,80494.0,5073.63,37865.5,12880.0,5286.0,26920.0,81961.0,223141.0,225987.0,19164.0,41108.5,11765.4978,218331.0,188694.0,20314.0,7740.0,31030.0,53836.0,15293.0,307486.0,0.0,79510.0,9379.0,45410.0,67703.0,11625.13,20122.0,38700.0,119620.0,101980.0,101109.0,863.38,6260.5,20922.0,29601.0,14073.77,70050.5,476.0,89674.0,40.0,0.0,0.0,26504.718999999997,12882.0541,0.0,37200.0,20163.0,31.24445,984.75,7490.0,18820.0,14979.8317,69186.0,21137.0,1541.5,44450.0,8244.0,4977.0,0.0,1199.0482,361.96
6,0.0,43153.0,80915.0,3614.15,10761.0,7850.0,0.0,0.0,43672.0,134290.0,98543.0,19454.0,36392.58,10781.4798,54957.0,148163.0,0.0,6826.0,19720.0,53830.0,17238.0,221101.0,0.0,0.0,5934.0,45324.0,67940.0,12289.51,20384.0,0.0,44728.0,50672.0,50289.0,0.0,3801.0,20999.0,21833.0,16397.96,28461.5,0.0,0.0,12942.0,0.0,2928.05,3749.8885,12251.1147,0.0,37298.0,0.0,3655.1692,19285.08,2999.5,0.0,76.0563,69405.0,15574.0,15595.5,0.0,7422.0,2626.0,0.0,59.121,72.73
7,43849.0,43037.0,80288.0,6198.23,22576.5,11290.0,837.0,18210.0,71112.0,194338.0,166906.0,19147.0,41638.74,10282.7774,166519.0,190363.0,0.0,7146.0,19140.0,53434.0,16107.0,221520.0,732.0,48150.0,9418.0,36424.0,67562.0,11572.46,19152.0,30640.0,104358.0,84530.0,83977.0,949.99,10737.5,0.0,43611.0,0.0,38553.0,0.0,218215.0,4535.0,0.0,1216.55,26889.1039,12337.2339,0.0,38102.0,21119.0,2040.7064,5691.96,9730.5,13020.0,22870.8096,68904.0,18547.5,3479.5,30040.0,6312.0,2325.0,0.0,16899.741,154.5
8,45661.0,43165.0,80984.0,10873.27,18400.5,7350.0,5385.0,18260.0,50259.0,108331.0,163064.0,18037.0,39442.54,10651.2672,115865.0,184648.0,0.0,8192.0,18900.0,53789.0,17818.0,165957.0,2232.0,42690.0,34394.0,48628.0,67149.0,11875.25,19535.0,25080.0,77000.0,65332.0,65379.0,1007.77,3572.0,0.0,43472.0,13120.9,51950.0,0.0,109330.0,20344.0,0.0,9262.53,6255.8208,11468.9907,13333.0,74380.0,86472.0,10133.405199999996,21871.65,9709.0,11310.0,3318.6961,69498.0,12150.0,24513.5,14850.0,7020.0,5913.0,0.0,5815.0268,59.55
9,23121.0,43086.0,80121.0,5064.31,22565.0,11250.0,608.0,17470.0,75571.0,159089.0,215635.0,14742.0,40783.06,10299.6726,116637.0,193280.0,20558.0,7577.0,19140.0,53710.0,15617.0,244309.0,0.0,11600.0,9319.0,43278.0,67687.0,11950.32,19667.0,22520.0,107453.0,91484.0,90362.0,0.0,3845.5,20893.0,21635.0,12946.05,59974.5,0.0,93584.0,26871.0,0.0,5051.81,30318.5021,10361.6584,0.0,38001.0,0.0,11236.4176,23450.64,3056.5,7070.0,18432.3848,68923.0,18509.0,1884.5,25520.0,7668.0,2326.0,0.0,14185.4874,146.29
