Id,McKee,Ngatamariki,Te_Mihi,aniwhenua,arapuni,aratiatia,argyle_wairau,atiamuri,aviemore,benmore,clyde,coleridge,glenbrook_kilns,highbank,huntly_1_4,huntly_e3p,huntly_p40,kapuni,karapiro,kawerau_new,kinleith,manapouri,mangahao,maraetai,matahina,mokai,nap,ngawha,ohaaki,ohakuri,ohau_a,ohau_b,ohau_c,paerau,patea,poihipi,rangipo,rotokawa,roxburgh,southdown,stratford,te_apiti,te_rapa,te_rere_hau,te_uku,tehuka,tekapo_a,tekapo_b,tokaanu,twf_12,twf_3,waikaremoana,waipapa,waipori,wairakei,waitaki,west_wind,whakamaru,whareroa,wheao_flaxy,whirinaki,white_hill
1464,22660.0,43274.0,81161.0,3541.75,15431.0,10050.0,0.0,9110.0,50583.0,176533.0,51433.0,13375.0,29997.3,9911.0,145312.0,172291.0,0.0,1970.0,19710.0,53647.0,17400.0,165267.0,3647.0,37850.0,9351.0,50385.0,67820.0,11916.0,19572.0,0.0,49411.0,47300.0,47251.0,537.55,1920.0,0.0,21687.0,13365.7,47504.0,0.0,167370.0,15365.0,0.0,2357.92,6634.69,12248.0,0.0,73031.0,0.0,4897.42,11271.0,3036.5,5570.0,8500.75,69955.0,11892.0,24438.0,0.0,3716.0,2500.0,0.0,10215.2
1465,0.0,43035.0,80645.0,6120.46,5707.5,12990.0,0.0,2620.0,78245.0,160163.0,49894.0,19142.0,37800.28,9287.8128,91191.0,170614.0,0.0,6905.0,19080.0,53632.0,15926.0,126171.0,0.0,24500.0,9358.0,44277.0,67509.0,12006.56,19638.0,0.0,83573.0,50926.0,50346.0,551.58,3112.5,0.0,21656.0,12244.29,46011.5,451.0,115349.0,31859.0,0.0,8291.84,22688.5266,12283.5334,0.0,37902.0,0.0,10514.3753,23378.12,3329.0,4790.0,2953.0409,68858.0,18510.5,24525.5,0.0,6163.0,2226.0,0.0,22490.5029
1466,42636.0,43015.0,80181.0,5464.59,17673.5,7320.0,80.0,8270.0,65527.0,211809.0,112416.0,18314.0,45815.05,10540.6938,242493.0,186753.0,17697.0,7819.0,19160.0,53830.0,17983.0,221615.0,0.0,26590.0,8430.0,46290.0,66986.0,11677.0,19568.0,13750.0,53185.0,44324.0,44103.0,0.0,3371.5,0.0,21819.0,13063.35,47356.0,0.0,196477.0,18737.0,0.0,7218.58,21079.6768,11388.0283,13384.0,74357.0,0.0,6518.2584000000015,21973.77,4101.0,10650.0,4952.8047000000015,69261.0,14386.5,559.5,13850.0,6611.0,2297.0,0.0,0.0
1467,23723.0,43255.0,81425.0,4491.99,27290.0,26060.0,0.0,7090.0,48268.0,130584.0,167593.0,19419.0,43451.43,10778.383,117054.0,196303.0,20931.0,7646.0,19890.0,53760.0,17951.0,275696.0,0.0,8230.0,9354.0,41717.0,67503.0,12220.15,20671.0,23440.0,99792.0,85247.0,85135.0,0.0,4686.0,21042.0,21395.0,16389.97,69710.0,0.0,0.0,12398.0,0.0,3024.68,16206.2752,12197.7811,0.0,37249.0,0.0,1963.50505,12688.89,3027.0,5330.0,14012.1303,69274.0,13568.5,69.0,22230.0,8062.0,2526.0,0.0,12070.1314
1468,23444.0,43365.0,81737.0,3703.06,12325.0,24240.0,0.0,0.0,75888.0,176160.0,51946.0,18429.0,44788.3,9003.53,181410.0,198564.0,0.0,2619.0,29060.0,50171.0,18809.0,165897.0,0.0,11640.0,9380.0,51257.0,67925.0,11978.7,20562.0,0.0,74406.0,44111.0,43421.0,0.0,2539.5,0.0,21836.0,13878.3,38900.0,0.0,192220.0,17.0,0.0,0.0,6146.5,12717.1,0.0,38003.0,0.0,168.58775,,3019.5,5130.0,18022.05,70053.0,16369.5,2371.5,13890.0,4340.0,2249.0,0.0,24409.3
1469,0.0,43340.0,81633.0,3823.86,17627.5,10830.0,0.0,0.0,23705.0,108516.0,55644.0,17275.0,31003.47,10775.6488,27586.0,174191.0,0.0,6885.0,19810.0,53729.0,15595.0,332515.0,0.0,0.0,9368.0,46610.0,67570.0,12258.28,21131.0,0.0,48952.0,45841.0,45680.0,2491.56,2759.5,21059.0,21657.0,16332.59,29949.0,0.0,0.0,0.0,0.0,0.0,10512.2652,13534.3943,0.0,37148.0,0.0,0.0,0.0,3021.0,0.0,6188.3687,69391.0,18605.5,5561.5,0.0,1702.0,2475.0,0.0,9356.1411
1470,22467.0,43210.0,81159.0,9903.39,28581.5,7820.0,5112.0,9140.0,65139.0,175034.0,149899.0,18444.0,46257.76,10051.4974,217559.0,192175.0,0.0,0.0,32360.0,52158.0,11135.0,306501.0,1586.0,56230.0,29103.0,48213.0,67381.0,11979.52,19976.0,13570.0,45892.0,38323.0,37587.0,0.0,9444.0,0.0,32319.0,12916.15,39132.5,0.0,201255.0,3482.0,0.0,672.24,4730.2582,11230.0009,8348.0,64394.0,83504.0,1098.84875,6044.45,2971.0,15820.0,12240.6784,69481.0,10645.0,25713.0,27750.0,4360.0,5472.0,0.0,273.4061
1471,0.0,43210.0,81096.0,4430.55,21914.5,12830.0,0.0,0.0,22745.0,112659.0,108364.0,19177.0,33204.6,10889.3,40345.0,171034.0,0.0,7110.0,19780.0,53830.0,16488.0,276895.0,0.0,10660.0,9378.0,50250.0,67840.0,12008.4,20335.0,0.0,100348.0,65132.0,64672.0,2284.03,4599.0,20878.0,21830.0,15888.4,41732.0,0.0,0.0,0.0,0.0,1.53,10415.8,12629.0,0.0,37103.0,0.0,0.71995,984.83,2860.0,4780.0,12730.85,68828.0,14852.5,4606.5,1320.0,1408.0,2529.0,0.0,7520.01
1472,46082.0,43255.0,82112.0,7943.21,23236.0,22630.0,5252.0,34610.0,51533.0,158392.0,200026.0,18790.0,43433.75,10395.9772,244859.0,199290.0,20930.0,7682.0,27390.0,51698.0,0.0,276873.0,130.0,87430.0,17220.0,44436.0,68027.0,10807.05,19895.0,39210.0,110038.0,92562.0,91262.0,2457.97,7706.5,0.0,29633.0,13194.81,58891.0,0.0,222448.0,17762.0,13945.9401,0.0,3878.6158,11929.794,0.0,36700.0,86187.0,5913.521150000001,,21169.5,17880.0,18171.234,69265.0,14858.0,20516.5,42930.0,9998.0,4978.0,0.0,24439.8552
1473,23231.0,43195.0,81397.0,9710.98,39035.0,7760.0,5277.0,20380.0,50398.0,146843.0,150546.0,17286.0,40591.83,10045.0098,219564.0,195661.0,22115.0,1862.0,19410.0,53801.0,14717.0,305586.0,0.0,61370.0,9310.0,48217.0,67594.0,12351.73,19201.0,36320.0,74653.0,73980.0,73506.0,4999.5,8974.0,0.0,44473.0,13158.54,49156.5,0.0,267150.0,23514.0,16272.7812,6760.57,20265.9308,11248.6845,0.0,72866.0,119473.0,8577.070199999998,22857.31,17059.0,14890.0,23002.5384,69727.0,11183.5,25410.0,45840.0,4240.0,4727.0,0.0,962.6453
1474,24107.0,43791.0,82308.0,7134.72,24993.5,26650.0,193.0,34610.0,81093.0,199919.0,199326.0,19393.0,30543.53,11476.3488,235802.0,202670.0,19930.0,7207.0,32010.0,53982.0,15309.0,247570.0,0.0,82350.0,9363.0,44143.0,68285.0,12651.5,20767.0,40750.0,106666.0,97800.0,97557.0,1266.75,5215.0,21129.0,29826.0,12722.34,54852.0,0.0,94258.0,14769.0,14893.2282,4613.23,0.0,14463.9346,0.0,37158.0,2583.0,7225.292249999999,17220.24,24042.5,24680.0,11374.7816,69660.0,21839.5,27721.0,44920.0,8101.0,2431.0,0.0,17220.1063
1475,26376.0,43284.0,54010.0,5734.79,5913.5,7840.0,0.0,0.0,35138.0,111039.0,50524.0,18428.0,46168.98,10160.0618,223858.0,128500.0,0.0,2667.0,19780.0,53784.0,11974.0,221564.0,0.0,0.0,9397.0,49812.0,67147.0,10563.61,19967.0,0.0,75363.0,48203.0,47585.0,1051.07,2960.5,0.0,21655.0,13733.26,38930.5,0.0,144223.0,20136.0,21818.8098,5211.53,31841.2309,12295.0569,13511.0,74215.0,0.0,5734.00605,20673.88,3461.0,160.0,2752.8987,70262.0,13860.0,247.0,0.0,4437.0,2528.0,0.0,2714.6208
1476,23817.0,43386.0,81881.0,4620.58,25247.0,11780.0,0.0,0.0,75758.0,210799.0,105082.0,5488.0,44577.2,10886.3,123441.0,174354.0,0.0,7103.0,26660.0,53848.0,0.0,99188.0,0.0,18970.0,9452.0,47807.0,68179.0,12239.9,20140.0,0.0,115966.0,100237.0,98855.0,602.41,7222.0,21054.0,21648.0,14254.3,49695.5,0.0,36967.0,16019.0,0.0,7372.25,6353.96,12438.2,0.0,37250.0,0.0,9147.87,19005.4,3086.5,7150.0,16865.8,69926.0,18508.0,2864.0,14790.0,8070.0,2530.0,0.0,623.2669999999998
1477,0.0,43144.0,80922.0,3680.93,9171.5,7850.0,0.0,0.0,48649.0,134489.0,98637.0,19455.0,36412.76,10781.3426,54728.0,146288.0,0.0,6848.0,19730.0,53837.0,16695.0,221340.0,0.0,0.0,5928.0,45414.0,67974.0,12259.61,20372.0,0.0,45760.0,50717.0,50181.0,0.0,3735.5,20997.0,21835.0,16358.1,29615.0,0.0,0.0,11299.0,0.0,4253.46,3021.681,12212.8153,0.0,37299.0,0.0,4351.23095,18614.16,3004.0,0.0,216.9394,69479.0,15595.0,17733.5,0.0,7293.0,2621.0,0.0,823.0521
1478,22643.0,43161.0,80953.0,5069.47,21789.5,10800.0,2932.0,8960.0,76895.0,202951.0,148574.0,13219.0,44138.94,9906.1242,75018.0,188788.0,20377.0,6752.0,19160.0,53821.0,18204.0,165226.0,0.0,24570.0,9367.0,43309.0,68091.0,11942.24,19794.0,12690.0,106656.0,74426.0,73711.0,0.0,3956.0,20934.0,21640.0,13409.89,48084.0,0.0,29249.0,9015.0,0.0,4670.12,17977.345,11450.6541,0.0,38099.0,2.0,4252.1497,13077.96,2944.0,10210.0,13460.2861,69128.0,18575.0,12940.0,14820.0,7942.0,2280.0,0.0,0.0
1479,22458.0,43257.0,80863.0,5021.26,22998.5,15240.0,2956.0,17140.0,74491.0,154114.0,103044.0,13371.0,35484.25,10146.4398,221206.0,170999.0,20820.0,1905.0,18770.0,53373.0,17510.0,307109.0,0.0,42470.0,9381.0,46447.0,67814.0,11709.27,19731.0,26730.0,76962.0,67848.0,67022.0,2777.21,187.0,0.0,21825.0,13144.17,39290.5,0.0,228614.0,22089.0,0.0,3212.34,3678.0156,11733.5366,0.0,73283.0,0.0,9653.66765,18805.6,7375.0,10420.0,11064.5885,69571.0,12901.5,23947.5,29640.0,0.0,2618.0,0.0,18596.4903
