Station_Name,GroupName,Owner_Name,Operators_Name,Connection_Type,Generation_Type,Operating_Capacity,Fuel_Name,Primary_Efficiency,Secondary_Fuel,Secondary_Efficiency,Date_Commissioned,Year,Installed_Capacity,Max_Unit_Size,Typical_Annual_GWh,Generating_Units,Thermal_Operating_Stockpile,Hydro_Max_m3_Storage,Hydro_Max_GWh_Storage,Node_Name,Region_Name,Island_Name,Comments,Decommission_Date,Data_Source,GroupOrder,CDSName
Addington,,Orion,Meridian Energy,Embedded,Unknown,0.4,Unknown,0,Not Applicable,0,,,0.4,0.4 MW,0,,,0,,ADD0111,CAN - Canterbury,SI - South Island,GWh and MW data from Centralised Dataset 2006 calendar year,,"EMS (Reconciliation Manager List), CDS",,GEN.Unknown.Christchurch.Addington.Rail
Aluminium Diecasting Ltd,,Aluminium Diecasting,Meridian Energy,Embedded,Unknown,0.2,Unknown,0,Not Applicable,0,,,0.2,0.2 MW,0,,,0,,BRY0111,CAN - Canterbury,SI - South Island,GWh and MW data from Centralised Dataset 2006 calendar year,,"EMS (Reconciliation Manager List), CDS",,GEN.Unknown.Christchurch.Bromley.Diecast
Amethyst,,Westpower,Westpower,Embedded,Hydro,6,Hydro,0,Not Applicable,0,Jun 2013,2013,6,6 MW,30,,,0,,ARA2201,WEC - West Coast,SI - South Island,GWh estimated,, www.energynews.co.nz,,No current series
Anchor Products,,Trustpower,Trustpower,Embedded,Thermal,3.9,Unknown,0,Not Applicable,0,,,3.9,3.9 MW,3.3,,,0,,TMU0111,WTO - Waikato,NI - North Island,GWh and MW data from Centralised Dataset 2006 calendar year,,"EMS (Reconciliation Manager List), CDS",,GEN.Thermal.TeAwamutu
Aniwhenua,,Bay of Plenty Energy,Todd Energy,Partially Embedded,Hydro,25,Hydro,0.173,Not Applicable,0,1979,1979,25,12.5 MW,105,2 x 12.5 MW,,0,,MAT1101,BOP - Bay Of Plenty,NI - North Island,"Constructed over three years at a cost of $27 million in the late 1970's, the Aniwhenua scheme involved the damming of the Rangitaiki River, forming a 255 hectare storage lake. Aniwhenua is named after the falls which are adjacent to the power house. The Aniwhenua scheme consists of a 200 meter long, 10 meter high dam structure with two radial control gates which can discharge 1,270 cubic meters of water per second. Three additional flap gates are designed to handle higher flood conditions. A 2.2 kilometer canal with a fall rate of 1 in 2,500 diverts water from the lake to a head pond above the powerhouse. Water flows from the head of the pond through steeply dropping penstocks at a rate of 75 cubic meters a second to the powerhouse. There, it drives two 12.5 MW generators before being discharged back to the river just below the Aniwhenua Falls.",,"EL Database,Electricity Commission,EMS (Reconciliation Manager List)",,GEN.Hydro.Aniwhenua
Arapuni,Waikato Hydro Scheme,Mighty River Power,Mighty River Power,Grid Connected,Hydro,196.7,Hydro,0.463,Not Applicable,0,Oct 1946,1946,196.7,26.7 MW,805,,,10,,ARI1101,WTO - Waikato,NI - North Island,"With eight generating units, Arapuni has the largest single capacity of any of the stations in the Waikato hydro system. Due to its close proximity to Hamilton's urban centre, Arapuni provides a voltage support role for power transmissions to the area. Recent upgrades to the station have enhanced its capability in this area. This station is occasionally used for frequency keeping. The Arapuni power station was the first government-built hydroelectric station on the Waikato River. During the initial surveying in 1916, an old watercourse was found just upstream of one of the narrowest parts of the gorge. In 1920, the surveying was halted due to lack of government funds to progress the project. Construction finally began in 1924, but repeated heavy rain and the resulting floods dogged the early works. Just after the project was commissioned in mid-1929, the station was closed for two years while a water seepage problem was investigated and the headrace lined. The station began operating again in May 1932 with four generators installed. Four more machines have since been added. In 2001, work was completed on four of Arapuni's turbines to increase capacity from 24.7MW to 26.7MW each and to improve their peak efficiency to 94 percent.",,"EL Database,Electricity Commission,EMS (Reconciliation Manager List), www.mightyriverpower.co.nz",7,GEN.Hydro.Waikato.Arapuni
Aratiatia,Waikato Hydro Scheme,Mighty River Power,Mighty River Power,Grid Connected,Hydro,78,Hydro,0.268,Not Applicable,0,May 1964,1964,90,30 MW,330,,,0,,ARA2201,WTO - Waikato,NI - North Island,"As the smallest of the hydro reservoirs, Aratiatia's lake level fluctuates through its storage range regularly throughout the day. Aratiatia is largely a 'run of river' station, passing water released from the Taupo Gates down to Lake Ohakuri.",,"EL Database,Electricity Commission,EMS (Reconciliation Manager List)",1,GEN.Hydro.Waikato.Aratiatia
Argyle,Branch Hydro Scheme,Trustpower,Trustpower,Grid Connected,Hydro,3.8,Hydro,0,Not Applicable,0,May 1983,1983,3.8,3.8 MW,17,,,0,,ARG1101,NEL - Nelson/Marlbourough,SI - South Island,"Investigations into the feasibility of Branch River Power scheme began in 1978, and following a detailed investigation in 1980 finance was approved with construction beginning soon afterwards. Canal filling commenced in March 1983, with generation commencing at the Wairau Power House in June, and at Argyle two months later.A run of the river scheme with daily storage, the water first passes through the Argyle station of 3800kw capacity with a head of 21.9 meters. A 3385 meter canal then carries the water to the Wairau Power Station of 7200kw at a head of 41.3 metres. CDS output data is believed to be net of some local load.",," www.trustpower.co.nz,EL Database,Electricity Commission,EMS (Reconciliation Manager List)",1,SI.Argyle.Import
Arnold,,Trustpower,Trustpower,Embedded,Hydro,3.1,Hydro,0,Not Applicable,0,1932,1932,3.1,3.1 MW,20,,,0,,DOB0331,WEC - West Coast,SI - South Island,Estimated GWH based on high capacity usage,," www.trustpower.co.nz,EL Database,Electricity Commission,EMS (Reconciliation Manager List)",,GEN.Hydro.Arnold
Ascot Ave,,Manson Developments,Mighty River Power,Embedded,Unknown,0.1,Unknown,0,Not Applicable,0,,,0.1,0.1 MW,0,,,0,,PEN0331,AKL - Auckland,NI - North Island,,,"EMS (Reconciliation Manager List),CDS",,GEN.Unknown.Auckland.Mansons.Penrose
